"date","parameter","location","value","unit","city","attribution","averagingperiod","coordinates","country","sourcename","sourcetype","mobile"
"{utc=2006-11-15T06:25:00.000Z, local=2006-11-15T06:25:00+00:00}","pm25","JTA - Jamestown","104.08","µg/m³","Accra","[{name=Dr. Raphael E. Arku and Colleagues, url=https://www.ncbi.nlm.nih.gov/pubmed?term=Arku+RE%5BAuthor%5D+AND+Accra+air+pollution%5BAll+Fields%5D&cmd=DetailsSearch}]","{unit=hours, value=48.0}","{latitude=5.540114, longitude=-0.2103972}","GH","Dr. Raphael E. Arku and Colleagues","research","false"
"{utc=2006-11-15T06:25:00.000Z, local=2006-11-15T06:25:00+00:00}","pm10","JTA - Jamestown","165.57","µg/m³","Accra","[{name=Dr. Raphael E. Arku and Colleagues, url=https://www.ncbi.nlm.nih.gov/pubmed?term=Arku+RE%5BAuthor%5D+AND+Accra+air+pollution%5BAll+Fields%5D&cmd=DetailsSearch}]","{unit=hours, value=48.0}","{latitude=5.540114, longitude=-0.2103972}","GH","Dr. Raphael E. Arku and Colleagues","research","false"
"{utc=2006-11-15T06:55:00.000Z, local=2006-11-15T06:55:00+00:00}","pm25","JTC - Jamestown","103.44","µg/m³","Accra","[{name=Dr. Raphael E. Arku and Colleagues, url=https://www.ncbi.nlm.nih.gov/pubmed?term=Arku+RE%5BAuthor%5D+AND+Accra+air+pollution%5BAll+Fields%5D&cmd=DetailsSearch}]","{unit=hours, value=48.0}","{latitude=5.5349193, longitude=-0.2124056}","GH","Dr. Raphael E. Arku and Colleagues","research","false"
"{utc=2006-11-15T06:55:00.000Z, local=2006-11-15T06:55:00+00:00}","pm10","JTC - Jamestown","184.85","µg/m³","Accra","[{name=Dr. Raphael E. Arku and Colleagues, url=https://www.ncbi.nlm.nih.gov/pubmed?term=Arku+RE%5BAuthor%5D+AND+Accra+air+pollution%5BAll+Fields%5D&cmd=DetailsSearch}]","{unit=hours, value=48.0}","{latitude=5.5349193, longitude=-0.2124056}","GH","Dr. Raphael E. Arku and Colleagues","research","false"
"{utc=2006-11-15T07:12:00.000Z, local=2006-11-15T07:12:00+00:00}","pm25","NMA - Nima","95.13","µg/m³","Accra","[{name=Dr. Raphael E. Arku and Colleagues, url=https://www.ncbi.nlm.nih.gov/pubmed?term=Arku+RE%5BAuthor%5D+AND+Accra+air+pollution%5BAll+Fields%5D&cmd=DetailsSearch}]","{unit=hours, value=38.0}","{latitude=5.58389, longitude=-0.19968}","GH","Dr. Raphael E. Arku and Colleagues","research","false"
"{utc=2006-11-15T07:12:00.000Z, local=2006-11-15T07:12:00+00:00}","pm10","NMA - Nima","77.64","µg/m³","Accra","[{name=Dr. Raphael E. Arku and Colleagues, url=https://www.ncbi.nlm.nih.gov/pubmed?term=Arku+RE%5BAuthor%5D+AND+Accra+air+pollution%5BAll+Fields%5D&cmd=DetailsSearch}]","{unit=hours, value=38.0}","{latitude=5.58389, longitude=-0.19968}","GH","Dr. Raphael E. Arku and Colleagues","research","false"
"{utc=2006-11-15T07:15:00.000Z, local=2006-11-15T07:15:00+00:00}","pm25","JTT - Jamestown","102.93","µg/m³","Accra","[{name=Dr. Raphael E. Arku and Colleagues, url=https://www.ncbi.nlm.nih.gov/pubmed?term=Arku+RE%5BAuthor%5D+AND+Accra+air+pollution%5BAll+Fields%5D&cmd=DetailsSearch}]","{unit=hours, value=48.0}","{latitude=5.5334554, longitude=-0.2129917}","GH","Dr. Raphael E. Arku and Colleagues","research","false"
"{utc=2006-11-15T07:15:00.000Z, local=2006-11-15T07:15:00+00:00}","pm10","JTT - Jamestown","170.67","µg/m³","Accra","[{name=Dr. Raphael E. Arku and Colleagues, url=https://www.ncbi.nlm.nih.gov/pubmed?term=Arku+RE%5BAuthor%5D+AND+Accra+air+pollution%5BAll+Fields%5D&cmd=DetailsSearch}]","{unit=hours, value=48.0}","{latitude=5.5334554, longitude=-0.2129917}","GH","Dr. Raphael E. Arku and Colleagues","research","false"
"{utc=2006-11-17T06:21:00.000Z, local=2006-11-17T06:21:00+00:00}","pm25","JTA - Jamestown","96.57","µg/m³","Accra","[{name=Dr. Raphael E. Arku and Colleagues, url=https://www.ncbi.nlm.nih.gov/pubmed?term=Arku+RE%5BAuthor%5D+AND+Accra+air+pollution%5BAll+Fields%5D&cmd=DetailsSearch}]","{unit=hours, value=48.0}","{latitude=5.540114, longitude=-0.2103972}","GH","Dr. Raphael E. Arku and Colleagues","research","false"
"{utc=2006-11-17T06:21:00.000Z, local=2006-11-17T06:21:00+00:00}","pm10","JTA - Jamestown","172.8","µg/m³","Accra","[{name=Dr. Raphael E. Arku and Colleagues, url=https://www.ncbi.nlm.nih.gov/pubmed?term=Arku+RE%5BAuthor%5D+AND+Accra+air+pollution%5BAll+Fields%5D&cmd=DetailsSearch}]","{unit=hours, value=48.0}","{latitude=5.540114, longitude=-0.2103972}","GH","Dr. Raphael E. Arku and Colleagues","research","false"
"{utc=2006-11-17T08:07:00.000Z, local=2006-11-17T08:07:00+00:00}","pm25","NMT - Nima","101.37","µg/m³","Accra","[{name=Dr. Raphael E. Arku and Colleagues, url=https://www.ncbi.nlm.nih.gov/pubmed?term=Arku+RE%5BAuthor%5D+AND+Accra+air+pollution%5BAll+Fields%5D&cmd=DetailsSearch}]","{unit=hours, value=50.0}","{latitude=5.58165, longitude=-0.19898}","GH","Dr. Raphael E. Arku and Colleagues","research","false"
"{utc=2006-11-17T08:07:00.000Z, local=2006-11-17T08:07:00+00:00}","pm10","NMT - Nima","169.89","µg/m³","Accra","[{name=Dr. Raphael E. Arku and Colleagues, url=https://www.ncbi.nlm.nih.gov/pubmed?term=Arku+RE%5BAuthor%5D+AND+Accra+air+pollution%5BAll+Fields%5D&cmd=DetailsSearch}]","{unit=hours, value=50.0}","{latitude=5.58165, longitude=-0.19898}","GH","Dr. Raphael E. Arku and Colleagues","research","false"
"{utc=2006-11-17T07:00:00.000Z, local=2006-11-17T07:00:00+00:00}","pm25","JTC - Jamestown","105.53","µg/m³","Accra","[{name=Dr. Raphael E. Arku and Colleagues, url=https://www.ncbi.nlm.nih.gov/pubmed?term=Arku+RE%5BAuthor%5D+AND+Accra+air+pollution%5BAll+Fields%5D&cmd=DetailsSearch}]","{unit=hours, value=44.0}","{latitude=5.5349193, longitude=-0.2124056}","GH","Dr. Raphael E. Arku and Colleagues","research","false"
"{utc=2006-11-17T07:00:00.000Z, local=2006-11-17T07:00:00+00:00}","pm10","JTC - Jamestown","180.69","µg/m³","Accra","[{name=Dr. Raphael E. Arku and Colleagues, url=https://www.ncbi.nlm.nih.gov/pubmed?term=Arku+RE%5BAuthor%5D+AND+Accra+air+pollution%5BAll+Fields%5D&cmd=DetailsSearch}]","{unit=hours, value=44.0}","{latitude=5.5349193, longitude=-0.2124056}","GH","Dr. Raphael E. Arku and Colleagues","research","false"
"{utc=2006-11-17T09:00:00.000Z, local=2006-11-17T09:00:00+00:00}","pm25","NMA - Nima","90.67","µg/m³","Accra","[{name=Dr. Raphael E. Arku and Colleagues, url=https://www.ncbi.nlm.nih.gov/pubmed?term=Arku+RE%5BAuthor%5D+AND+Accra+air+pollution%5BAll+Fields%5D&cmd=DetailsSearch}]","{unit=hours, value=50.0}","{latitude=5.58389, longitude=-0.19968}","GH","Dr. Raphael E. Arku and Colleagues","research","false"
